date;paymode;info;payee;memo;amount;category;tags
1.12.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.12.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
30.11.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
30.11.2023;6;;;ES8600491893072410371491 (SIMYO);;;
29.11.2023;6;;;DE87300308801908262006 (AMAZON PAYMENTS EUROPE S.C.A.);;;
28.11.2023;6;;;DE87300308801908262006 (AMAZON PAYMENTS EUROPE S.C.A.);;;
20.11.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien kasse);;;
20.11.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
14.11.2023;6;;;DE49700400410225563601 (Telefonica Germany GmbH + Co. OHG);;;
8.11.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
3.11.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw . Oschatzer Str. 25+25/1);;;
1.11.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.11.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.11.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
31.10.2023;6;;;ES8600491893072410371491 (SIMYO);;;
30.10.2023;6;;;DE21600501010002096139 (WILHELMASTUTTGART);;;
30.10.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
24.10.2023;6;;;DE29300600100005021573 (Adyen N.V.);;;
20.10.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien kasse);;;
20.10.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
19.10.2023;6;;;DE87300308801908262006 (AMAZON PAYMENTS EUROPE S.C.A.);;;
16.10.2023;6;;;DE07500500000000345678 (Rundfunk ARD, ZDF, DRadio);;;
13.10.2023;6;;;DE16700202700005713153 (Telefonica Germany GmbH + Co. OHG);;;
10.10.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
9.10.2023;6;;;DE67502109000218391443 (Worldline Sweden AB fuer Shell);;;
4.10.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
4.10.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw . Oschatzer Str. 25+25/1);;;
2.10.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
2.10.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
2.10.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
29.9.2023;6;;; ();;;
29.9.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
21.9.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien kasse);;;
20.9.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
13.9.2023;6;;;DE49700400410225563601 (Telefonica Germany GmbH + Co. OHG);;;
12.9.2023;6;;;DE19500700240004020480 (DEUTSCHE BANK);;;
11.9.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
8.9.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
6.9.2023;6;;;DE19500700240004020480 (DEUTSCHE BANK);;;
6.9.2023;6;;;DE72370100500980672509 (ZENTRALES FINANZWESEN DES BUNDES (Z FB) -ZENTRALKASSE-);;;
4.9.2023;6;;;DE97700202700015066957 (Allianz Versicherungs-AG);;;
4.9.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw . Oschatzer Str. 25+25/1);;;
1.9.2023;6;;;DE97700202700015066957 (Allianz Versicherungs-AG);;;
1.9.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.9.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.9.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
31.8.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
31.8.2023;6;;;DE72370100500980672509 (ZENTRALES FINANZWESEN DES BUNDES (Z FB) -ZENTRALKASSE-);;;
21.8.2023;6;;;DE29370100500828573500 (V PAY);;;
21.8.2023;6;;;DE29370100500828573500 (V PAY);;;
21.8.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien kasse);;;
21.8.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
18.8.2023;6;;;DE91612623450000055000 (STADTBIBLIOTHEK FILDERSTADT);;;
15.8.2023;6;;;DE60600000000060001503 (Finanzamt Stuttgart IV (Finanzkasse ));;;
14.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
14.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
14.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
14.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
14.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
14.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
11.8.2023;6;;;DE16700202700005713153 (Telefonica Germany GmbH + Co. OHG);;;
11.8.2023;6;;; ();;;
9.8.2023;6;;;DE70200505501280122225 (DAK Gesundheit);;;
8.8.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
7.8.2023;6;;;DE71500400000600178805 (FLYING SHIP);;;
3.8.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw . Oschatzer Str. 25+25/1);;;
1.8.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.8.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
1.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
1.8.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
31.7.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
31.7.2023;6;;;DE21612901200362907005 (KIKIMONDO, ABENTEUERLAND);;;
31.7.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
20.7.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
19.7.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien kasse);;;
17.7.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
17.7.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
17.7.2023;6;;;DE92370100500555661508 (Lastschrift aus Kartenzahlung);;;
17.7.2023;6;;;DE07500500000000345678 (Rundfunk ARD, ZDF, DRadio);;;
17.7.2023;6;;; ();;;
13.7.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
13.7.2023;6;;;DE49700400410225563601 (Telefonica Germany GmbH + Co. OHG);;;
12.7.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
10.7.2023;6;;;DE84500604000012020802 (SG-VR Payment GmbH);;;
10.7.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
3.7.2023;6;;;DE53700500000002038200 (ADAC Versicherung AG);;;
3.7.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
3.7.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
3.7.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
3.7.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw . Oschatzer Str. 25+25/1);;;
3.7.2023;6;;;DE16700500000006055830 (Allg.Deutscher Automobil-Club ADAC e.V.);;;
30.6.2023;6;;; ();;;
30.6.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
28.6.2023;6;;;DE61300500000008000119 (LIDL DIENSTLEISTUNG GMBH UND CO KG);;;
22.6.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien);;;
20.6.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
14.6.2023;6;;;DE16700202700005713153 (Telefonica Germany GmbH + Co. OHG);;;
12.6.2023;6;;;DE71664926000009202404 (PARKEN BAD AIRP);;;
8.6.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
5.6.2023;6;;;DE29370100500828573500 (V PAY);;;
5.6.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
1.6.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.6.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
1.6.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
31.5.2023;6;;;DE33700202700005718473 (Mercedes-Benz Group);;;
30.5.2023;6;;;DE79641500200000014144 (Ebene 3 Ausfahrt);;;
30.5.2023;6;;;ES8914650100971708398703 (Miguel Beltran Castro);;;
22.5.2023;6;;;DE60600501010001017573 (PH MILANEO STUTTGART);;;
22.5.2023;6;;;DE07760000000076001615 (Bundesagentur für Arbeit - Familien);;;
22.5.2023;6;;;DE83500500000096564042 (RCI BANQUE S.A. NL Deutschland);;;
12.5.2023;6;;;DE49700400410225563601 (Telefonica Germany GmbH + Co. OHG);;;
9.5.2023;6;;;DE97500400000589011600 (1+1 Telecom GmbH);;;
3.5.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
2.5.2023;6;;;DE31577615910310730505 (01778 MCDONALDS);;;
2.5.2023;6;;;DE29370100500828573500 (V PAY);;;
2.5.2023;6;;;DE29100208900030269551 (UNICREDIT W/ TOTAL);;;
2.5.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
2.5.2023;6;;;DE92611616960256685002 (Rahmer Hausverwaltung GmbH Mietverw);;;
2.5.2023;6;;;DE44611500200010770708 (Stadt Filderstadt);;;
