date;paymode;info;payee;memo;amount;category;tags
Buchung;6;;;Auftraggeber/Empfänger (Saldo);Betrag;;
08.12.2023;6;;;VISA PAYPAL *ENNOVATIONS (9.378,90);-51,57;;
08.12.2023;6;;;VISA MARKTKAUF FILDERSTADT (9.430,47);-43,23;;
08.12.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (9.473,70);-6,85;;
07.12.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (9.480,55);-13,45;;
07.12.2023;6;;;VISA IF IKEA 224 SINDELFING (9.494,00);-1,95;;
07.12.2023;6;;;VISA IF IKEA 224 SINDELFING (9.495,95);-27,30;;
07.12.2023;6;;;VISA HFB ECO IKEA 224 SINDE (9.523,25);-115,54;;
07.12.2023;6;;;VISA ARAL STATION 150625135 (9.638,79);-57,06;;
06.12.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (9.695,85);-2,20;;
05.12.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (9.698,05);-7,47;;
05.12.2023;6;;;VISA MARKTKAUF FILDERSTADT (9.705,52);-156,31;;
05.12.2023;6;;;VISA SUMUP *CHAMPS-GASTRON (9.861,83);-42,60;;
05.12.2023;6;;;VISA SUMUP *CHAMPS GASTRON (9.904,43);-2,90;;
05.12.2023;6;;;VISA DM-DROGERIE MARKT (9.907,33);-7,38;;
05.12.2023;6;;;VISA LIDL DIENSTLEISTUNG (9.914,71);-16,23;;
05.12.2023;6;;;VISA DECATHLON DEUTSCHLAND (9.930,94);-334,82;;
05.12.2023;6;;;VISA PAYPAL *TAKEAWAYCOM (10.265,76);-36,00;;
05.12.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (10.301,76);-10,10;;
04.12.2023;6;;;VISA PAYPAL *MAMUTBILL (10.311,86);-5,60;;
04.12.2023;6;;;ING (10.317,46);-0,99;;
04.12.2023;6;;;ING (10.318,45);-0,99;;
01.12.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (10.319,44);-7,75;;
01.12.2023;6;;;VISA PAYPAL *ALPASLANA (10.327,19);-9,00;;
01.12.2023;6;;;Fitness Park GbR Reklau u. Cresnar (10.336,19);-57,00;;
01.12.2023;6;;;Fitness Park GbR Reklau u. Cresnar (10.393,19);-57,00;;
01.12.2023;6;;;Francisco Fernandez Dominguez (10.450,19);-7,50;;
30.11.2023;6;;;Daimler Truck AG (10.457,69);5712,00;;
30.11.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (4.745,69);-2,20;;
29.11.2023;6;;;Praxis Dr. med. Katja Vogel (4.747,89);-152,00;;
29.11.2023;6;;;VISA AMAZON.DE (4.899,89);-25,99;;
29.11.2023;6;;;VISA SEHNE BACKWAREN FIL. 1 (4.925,88);-2,20;;
29.11.2023;6;;;VISA PAYPAL *INES.BENREJEB (4.928,08);-10,00;;
29.11.2023;6;;;VISA DM-DROGERIE MARKT (4.938,08);-7,55;;
